epochs HTR01 HTR02 HTR03 HTR04 HTR05 HTR06 HTR07 HTR08 HTR09
53.0 0.9921623037024984 0.992213637860053 0.9935709693048869 0.9933416586071017 0.9937209033024577 0.9940854546509101 0.993520355241339 0.9928603909767837 0.9957688612388091
54.0 0.9881297839172787 0.9814196603518037 0.9885855366621453 0.9879762639636922 0.9887871693483286 0.9903559388867206 0.9879285890492189 0.9853822407050643 0.9864152587751905
55.0 0.9931462302230035 0.9931378261262866 0.9930523242826745 0.9931239610747575 0.9931949514409922 0.9932121401172926 0.9927926249708608 0.9926221609231709 0.9929581370518015
56.0 0.9987717098767145 0.9988401497061711 0.9989120472975304 0.998886102970683 0.998846526176311 0.9988259253810038 0.9988001130518167 0.9987834993891862 0.9987807341328421
57.0 0.9959557347233647 0.9947887941219492 0.9917330568539574 0.9893041052833217 0.9903390241208664 0.9924869395923899 0.9966904694183657 0.9948379735978209 0.9916006919148701
58.0 0.9898412923899683 0.9913160004311596 0.9945899822583419 0.9937882998483006 0.9930299102448645 0.9922845296275119 0.9909055049247558 0.9868222606449419 0.9884980190584778
59.0 0.9946975202448769 0.9686962336362201 0.9496509829679608 0.9559315177800847 0.9653312293131271 0.973235885131636 0.9795616735526557 0.981722399059725 0.6323128866515748
60.0 0.9883230964911842 0.9835971149646129 0.980236280837926 0.9762650970305699 0.9811211461950059 0.9840525062258927 0.9863899056019023 0.9856785137659655 0.9934141894335554
61.0 0.9932983008955173 0.9653133797089246 0.9543317726955263 0.9515804486451167 0.9528608827713066 0.9573733059711383 0.9616474225874866 0.9645424698410175 0.637347667132959
62.0 0.9784837158748749 0.9769449857922892 0.9821888264415141 0.9802915353648912 0.9816125854505142 0.9830521241960962 0.9841729720046729 0.982180450634784 0.9907939101071224
63.0 0.9955882273807014 0.9945215932586651 0.9615251705336347 0.963558897934355 0.9744588609084746 0.9844138147888525 0.9867136523864944 0.9845321197872662 0.9848952056431
64.0 0.9647319288680845 0.9642881729564351 0.9558517417391281 0.9646559469940627 0.9768569417622207 0.9829076467115286 0.9856468388804891 0.982882193816502 0.9684705059665463
65.0 0.9936719169590912 0.9928138282429578 0.9917758237892679 0.9910182261496304 0.9915358514456506 0.9922057092957549 0.9938434835882058 0.9939142794376721 0.9960686112482409
66.0 0.9977168019993164 0.9980399611892503 0.9739708660124405 0.9715455530611288 0.9748029143468918 0.9816851695213116 0.9976324323051012 0.9956714020495344 0.9643263998975107
67.0 0.9945774327546387 0.9936600986868404 0.9975147893213213 0.9975693313753483 0.9977851504315971 0.9978220603687691 0.9975494504587263 0.9957239384353657 0.9806573421617141
68.0 0.977257511086735 0.9709791099699157 0.9559015680733235 0.9597708122044531 0.9697553623537148 0.9778313092867004 0.9950851705647548 0.9836475052897634 0.6465908715486307
69.0 0.9949712672950654 0.9968059265942454 0.9983467740946524 0.997066656065712 0.9960832371344203 0.996132538944792 0.9964984478584477 0.990798806307977 0.9777689401044738
70.0 0.9963353800404685 0.9951280466818876 0.9626033146442018 0.9691266031853137 0.9807976361301716 0.9860119021725763 0.9873929542170808 0.9862732106273209 0.9832724787245587
71.0 0.9921458106290324 0.987599452202967 0.958511982005903 0.9572596185593227 0.9628966516028588 0.9673206752632898 0.9782714527616343 0.9728075981763588 0.6202606556928179
72.0 0.9844318524817248 0.9863303991610338 0.9971100776720652 0.9959941935950696 0.9943350053567351 0.9905087376127621 0.9854406295176986 0.9900651302552347 0.9980218968451677
73.0 0.9948855856558346 0.9946815071401757 0.9918992678351557 0.9895827977395519 0.9885774264569217 0.9885839983365411 0.9878936821446185 0.9876712265032094 0.9931387420007363
74.0 0.967012434753868 0.9579192333660809 0.9764934336582171 0.9728834529870903 0.9663126851943138 0.9765696140106145 0.9913309815596094 0.9847072128984454 0.9761177603729801
75.0 0.9876978933971586 0.9834524918641181 0.9876641710278895 0.989700477206949 0.9914625281255496 0.9923225442306419 0.993393346276932 0.9922098760418744 0.9721717755998258
76.0 0.9965541475269564 0.9963440082014512 0.9891220327496697 0.9923580243545611 0.9914323740484313 0.9897953534424547 0.9919852844745246 0.9905043084413757 0.5658657886611824
77.0 0.9637110376728897 0.9568257918340525 0.9546592261578333 0.9644538745454114 0.9744687371661692 0.9803339195095697 0.9853044127754448 0.9849559791179789 0.6217907979436123
78.0 0.9694497421649552 0.9489924280096155 0.9475539289416455 0.9508857047682648 0.9652513795787404 0.9794972093544498 0.9893250752864827 0.989689465888899 0.9885898728415872
